pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-04-24,95.2,-1.9181,6.2322,Miguel Montero,471083,596720,field_out,hit_into_play,NA,NA,NA,NA,6,Miguel Montero flies out to left fielder Jose Osuna.,R,L,R,PIT,CHC,X,7,fly_ball,2,0,2017,-1.0513,1.5568,0.4566,2.0464,NA,NA,NA,2,9,Top,70.89,121.26,NA,NA,465041,NA,170425_022134,8.7082,-138.0571,-8.9285,-15.6816,31.4417,-10.0429,3.28,1.45,228,76.9,44.925,95.929,2296,6.942,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,53.559,0.059,0.062,0,1,0,0,3,87,3,0
FF,2017-04-24,96,-1.8875,6.2295,Miguel Montero,471083,596720,NA,ball,NA,NA,NA,NA,8,NA,R,L,R,PIT,CHC,B,NA,NA,1,0,2017,-0.6376,1.6136,0.0054,1.4615,NA,NA,NA,2,9,Top,NA,NA,NA,NA,465041,NA,170425_022113,6.4082,-138.9701,-10.5428,-9.687,31.2133,-9.1517,3.28,1.45,NA,NA,NA,95.533,2261,6.305,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,54.1961,0,0,NA,NA,NA,NA,NA,87,2,NA
FF,2017-04-24,98.1,-1.6359,6.4068,Miguel Montero,471083,596720,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,PIT,CHC,B,NA,NA,0,0,2017,-1.3154,1.5215,-0.298,3.7254,NA,NA,NA,2,9,Top,NA,NA,NA,NA,465041,NA,170425_022057,6.6138,-142.3562,-5.2219,-19.3703,33.1424,-10.5548,3.28,1.45,NA,NA,NA,97.791,2340,6.293,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,54.208,0,0,NA,NA,NA,NA,NA,87,1,NA
FF,2017-04-24,97.1,-1.3223,6.4199,Matt Szczur,519333,596720,field_out,hit_into_play,NA,NA,NA,NA,4,Matt Szczur flies out to right fielder John Jaso.,R,R,R,PIT,CHC,X,9,fly_ball,0,0,2017,-1.2221,1.4089,-0.6761,2.2118,NA,NA,NA,1,9,Top,158.58,100.27,NA,NA,465041,NA,170425_022013,4.5339,-140.9122,-8.9378,-17.3944,32.5495,-11.4743,3.43,1.56,249,83.8,49.358,97.16,2192,6.505,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,53.9963,0.007,0.008,0,1,0,0,3,86,1,0
FF,2017-04-24,96.9,-1.5443,6.3812,Addison Russell,608365,596720,field_out,hit_into_play,NA,NA,NA,NA,4,Addison Russell flies out to right fielder John Jaso.,R,R,R,PIT,CHC,X,9,fly_ball,3,2,2017,-1.1164,1.5196,-0.4446,2.7601,NA,NA,NA,0,9,Top,188.94,61.83,NA,NA,465041,NA,170425_021938,5.5014,-140.6225,-7.5918,-16.1546,32.1745,-10.3679,3.68,1.71,356,95.4,30.973,97.043,2215,6.535,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,53.966,0.24,0.408,0,1,0,0,5,85,6,0
FF,2017-04-24,96.3,-1.6844,6.3773,Addison Russell,608365,596720,NA,called_strike,NA,NA,NA,NA,14,NA,R,R,R,PIT,CHC,S,NA,NA,3,1,2017,-1.2168,1.7646,0.971,2.4943,NA,NA,NA,0,9,Top,NA,NA,NA,NA,465041,NA,170425_021918,9.7851,-139.4642,-8.6626,-18.1397,31.5231,-7.3283,3.68,1.71,NA,NA,NA,96.115,2243,6.451,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,54.0502,0,0,NA,NA,NA,NA,NA,85,5,NA
FF,2017-04-24,96.5,-1.6224,6.3751,Addison Russell,608365,596720,NA,called_strike,NA,NA,NA,NA,6,NA,R,R,R,PIT,CHC,S,NA,NA,3,0,2017,-1.3223,1.5621,0.4493,2.6478,NA,NA,NA,0,9,Top,NA,NA,NA,NA,465041,NA,170425_021904,8.5096,-139.8298,-7.8569,-19.347,31.4322,-10.0185,3.68,1.71,NA,NA,NA,96.466,2262,6.49,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,54.0114,0,0,NA,NA,NA,NA,NA,85,4,NA
FF,2017-04-24,96.4,-1.6288,6.3354,Addison Russell,608365,596720,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,PIT,CHC,B,NA,NA,2,0,2017,-1.1933,1.7241,1.9476,0.8305,NA,NA,NA,0,9,Top,NA,NA,NA,NA,465041,NA,170425_021845,12.2501,-139.0512,-12.9158,-18.5096,32.0822,-6.7319,3.68,1.71,NA,NA,NA,96.327,2252,6.789,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,53.7126,0,0,NA,NA,NA,NA,NA,85,3,NA
SL,2017-04-24,88.8,-1.9021,6.1703,Addison Russell,608365,596720,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,PIT,CHC,B,NA,NA,1,0,2017,-0.0161,0.6062,-1.1218,4.0083,NA,NA,NA,0,9,Top,NA,NA,NA,NA,465041,NA,170425_021829,1.9445,-129.1219,-0.5209,-0.5763,26.2476,-25.4812,3.68,1.71,NA,NA,NA,88.945,2463,6.359,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,54.1419,0,0,NA,NA,NA,NA,NA,85,2,NA
SL,2017-04-24,88.6,-1.689,6.3677,Addison Russell,608365,596720,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,PIT,CHC,B,NA,NA,0,0,2017,0.2732,0.6706,-0.4844,5.443,NA,NA,NA,0,9,Top,NA,NA,NA,NA,465041,NA,170425_021812,2.372,-128.7667,2.4061,2.5424,26.3409,-25.4534,3.68,1.71,NA,NA,NA,88.424,2645,6.206,490381,596720,465041,605137,594838,543281,593700,591741,570256,444379,54.2958,0,0,NA,NA,NA,NA,NA,85,1,NA
