pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-04-08,97.9,1.9565,5.6485,Nick Markakis,455976,553878,grounded_into_double_play,hit_into_play,NA,NA,NA,NA,12,"Nick Markakis grounds into a double play, shortstop Jordy Mercer to first baseman John Jaso.   Adonis Garcia out at 2nd.",R,L,L,PIT,ATL,X,6,ground_ball,0,0,2017,0.9012,1.324,1.0835,3.4972,NA,NA,611177,1,7,Top,122.27,144.75,NA,NA,465041,NA,170409_012740,-4.3404,-142.3447,-3.2637,12.9952,32.7335,-14.0432,3.66,1.73,124,58.5,15.606,96.876,2291,5.756,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,54.7453,0.161,0.153,0,1,0,0,1,63,1,0
FF,2017-04-08,98.3,2.0553,5.5666,Adonis Garcia,611177,553878,single,hit_into_play_no_out,NA,NA,NA,NA,3,Adonis Garcia singles on a ground ball to right fielder Andrew McCutchen.,R,R,L,PIT,ATL,X,NA,ground_ball,0,2,2017,0.3859,1.5218,0.7418,3.1833,NA,NA,NA,1,7,Top,178.46,113.26,NA,NA,465041,NA,170409_012644,-4.3543,-142.9349,-4.3808,6.0799,29.8451,-11.1026,3.38,1.47,35,98.1,-3.124,97.207,2356,5.502,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,54.9993,0.385,0.36,0.9,1,1,0,2,62,3,0
FF,2017-04-08,97.9,2.1458,5.5856,Adonis Garcia,611177,553878,NA,foul,NA,NA,NA,NA,3,NA,R,R,L,PIT,ATL,S,NA,NA,0,1,2017,0.6531,1.5404,0.5489,3.1173,NA,NA,NA,1,7,Top,NA,NA,NA,NA,465041,NA,170409_012626,-5.6857,-142.2661,-4.5578,9.9207,31.9108,-11.0088,3.38,1.47,208,77.1,35.5797,96.599,2346,5.573,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,54.9281,0,0,NA,NA,NA,NA,3,62,2,0
FF,2017-04-08,97.3,2.1526,5.6226,Adonis Garcia,611177,553878,NA,foul,NA,NA,NA,NA,3,NA,R,R,L,PIT,ATL,S,NA,NA,0,0,2017,0.6916,1.5982,0.3578,2.7837,NA,NA,NA,1,7,Top,NA,NA,NA,NA,465041,NA,170409_012609,-6.3074,-141.3461,-5.6091,10.5641,32.8406,-10.09,3.38,1.47,NA,NA,NA,96.305,2386,5.859,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,54.6423,0,0,NA,NA,NA,NA,NA,62,1,NA
CU,2017-04-08,81.1,2.0236,5.6188,Freddie Freeman,518692,553878,field_out,hit_into_play,NA,NA,NA,NA,13,"Freddie Freeman grounds out, pitcher Felipe Rivero to first baseman John Jaso.",R,L,L,PIT,ATL,X,1,ground_ball,1,1,2017,-1.1895,-0.3603,-0.9177,1.7639,NA,NA,NA,0,7,Top,126,178.39,NA,NA,465041,NA,170409_012534,-4.3061,-117.8563,-1.3267,-9.7968,21.7355,-35.415,3.52,1.69,4,66,-22.35,79.189,2634,4.966,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,55.5352,0.047,0.045,0,1,0,0,2,61,3,0
FF,2017-04-08,96.1,2.1245,5.6967,Freddie Freeman,518692,553878,NA,swinging_strike,NA,NA,NA,NA,6,NA,R,L,L,PIT,ATL,S,NA,NA,1,0,2017,0.6846,1.575,0.5768,2.733,NA,NA,NA,0,7,Top,NA,NA,NA,NA,465041,NA,170409_012522,-5.4795,-139.5974,-5.5676,9.8719,31.4885,-11.3189,3.52,1.69,NA,NA,NA,94.268,2407,5.32,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,55.1817,0,0,NA,NA,NA,NA,NA,61,2,NA
FF,2017-04-08,95.9,1.8383,5.8901,Freddie Freeman,518692,553878,NA,ball,NA,NA,NA,NA,12,NA,R,L,L,PIT,ATL,B,NA,NA,0,0,2017,0.3798,1.6914,1.9937,3.2438,NA,NA,NA,0,7,Top,NA,NA,NA,NA,465041,NA,170409_012507,-0.4161,-139.3973,-5.0199,4.9096,31.6186,-9.8481,3.52,1.69,NA,NA,NA,94.524,2413,5.568,490163,553878,465041,444379,624428,543281,474568,570256,516782,457705,54.9331,0,0,NA,NA,NA,NA,NA,61,1,NA
SL,2017-04-07,81,1.7838,5.5112,Ender Inciarte,542255,553878,field_out,hit_into_play,NA,NA,NA,NA,6,"Ender Inciarte grounds out, shortstop Jordy Mercer to first baseman John Jaso.",R,L,L,PIT,ATL,X,6,ground_ball,1,2,2017,-2.0704,0.0684,0.45,2.598,NA,NA,NA,2,7,Top,113.32,76.92,NA,NA,465041,NA,170407_193034,0.7832,-117.6068,0.143,-18.3165,26.6819,-31.9413,3.16,1.39,45,85.8,0.303,78.482,2890,5.093,490148,553878,465041,444379,543281,501896,474568,570256,516782,457705,55.4079,0.302,0.288,0,1,0,0,2,60,7,0
FF,2017-04-07,97.5,1.6487,5.7117000000000004,Ender Inciarte,542255,553878,NA,foul,NA,NA,NA,NA,13,NA,R,L,L,PIT,ATL,S,NA,NA,1,2,2017,0.6812,1.4774,-0.894,1.9069,NA,NA,NA,2,7,Top,NA,NA,NA,NA,465041,NA,170407_193010,-8.3485,-141.576,-8.0149,11.0288,32.9829,-10.8363,3.16,1.39,187,75.2,25.1645,96.98,2593,6.159,490148,553878,465041,444379,543281,501896,474568,570256,516782,457705,54.3422,0,0,NA,NA,NA,NA,4,60,6,0
CU,2017-04-07,79.8,1.7524,5.7377,Ender Inciarte,542255,553878,NA,foul,NA,NA,NA,NA,13,NA,R,L,L,PIT,ATL,S,NA,NA,1,2,2017,-1.382,-0.6497,-1.1913,1.3241,NA,NA,NA,2,7,Top,NA,NA,NA,NA,465041,NA,170407_192946,-3.8922,-115.8047,-1.6268,-10.8478,25.5561,-37.6553,3.16,1.39,NA,NA,NA,77.167,2875,4.976,490148,553878,465041,444379,543281,501896,474568,570256,516782,457705,55.5251,0,0,NA,NA,NA,NA,NA,60,5,NA
