pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FC,2017-04-07,85.8,-1.8049,5.8441,Erick Aybar,430947,502004,walk,ball,NA,NA,NA,NA,12,Erick Aybar walks.,R,L,R,SD,SF,B,NA,NA,3,1,2017,-0.2382,0.8443,0.1463,3.9336,NA,572114,NA,2,7,Bot,NA,NA,NA,NA,460026,NA,170408_010623,4.9757,-124.5755,0.0728,-3.3448,23.444,-23.9009,3.15,1.46,NA,NA,NA,84.416,2412,5.356,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.1423,0,0,0.7,1,0,0,NA,62,5,NA
FF,2017-04-07,88.9,-1.905,5.9762,Erick Aybar,430947,502004,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,SD,SF,B,NA,NA,2,1,2017,-1.0313,1.638,-0.8934,3.305,NA,572114,NA,2,7,Bot,NA,NA,NA,NA,460026,NA,170408_010558,4.4548,-128.9654,-3.7091,-12.0573,26.3956,-13.9721,3.15,1.46,NA,NA,NA,87.267,2343,5.381,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.1176,0,0,NA,NA,NA,NA,NA,62,4,NA
FC,2017-04-07,85,-1.8999,5.7575,Erick Aybar,430947,502004,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,SD,SF,B,NA,NA,1,1,2017,-0.5774,0.2067,-1.0874,2.426,NA,572114,NA,2,7,Bot,NA,NA,NA,NA,460026,NA,170408_010530,2.9616,-123.6499,-1.9542,-6.3025,21.1932,-29.9905,3.15,1.46,NA,NA,NA,84.139,2344,5.422,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.0764,0,0,NA,NA,NA,NA,NA,62,3,NA
FC,2017-04-07,85.2,-1.7988,5.8383,Erick Aybar,430947,502004,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,SD,SF,B,NA,NA,0,1,2017,-0.2312,0.3358,-1.3581,3.4873,NA,572114,NA,2,7,Bot,NA,NA,NA,NA,460026,NA,170408_010506,1.4522,-123.8012,0.0815,-2.5807,22.7705,-29.0716,3.15,1.46,NA,NA,NA,83.994,2404,5.391,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.1071,0,0,NA,NA,NA,NA,NA,62,2,NA
FC,2017-04-07,85.7,-2.0875,5.7928,Erick Aybar,430947,502004,NA,swinging_strike,NA,NA,NA,NA,13,NA,R,L,R,SD,SF,S,NA,NA,0,0,2017,-0.7163,0.8875,-0.5103,1.2035,NA,572114,NA,2,7,Bot,NA,NA,NA,NA,460026,NA,170408_010444,4.9929,-124.25,-6.1372,-8.1442,24.3802,-22.3561,3.15,1.46,NA,NA,NA,83.95,2271,5.288,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.2109,0,0,NA,NA,NA,NA,NA,62,1,NA
FC,2017-04-07,86.2,-2.0081,5.9117,Austin Hedges,595978,502004,sac_bunt,hit_into_play_score,NA,NA,NA,NA,5,"Giants challenged (play at 1st), call on the field was overturned: Austin Hedges out on a sacrifice bunt, pitcher George Kontos to second baseman Joe Panik.   Yangervis Solarte scores.    Ryan Schimpf to 2nd.",R,R,R,SD,SF,X,1,ground_ball,0,1,2017,-0.3402,1.0461,-0.1592,2.5556,500208,NA,572114,1,7,Bot,131.67,182.71,NA,NA,460026,NA,170408_010123,4.9656,-125.0428,-3.677,-4.4957,26.2761,-21.0545,3.58,1.65,NA,41,-39,84.554,2338,5.475,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.0237,0.139,0.128,0,1,0,0,1,61,2,0
FC,2017-04-07,86.5,-1.8215,5.6784,Austin Hedges,595978,502004,NA,swinging_strike,NA,NA,NA,NA,14,NA,R,R,R,SD,SF,S,NA,NA,0,0,2017,-0.4626,0.2969,0.6751,1.4695,500208,NA,572114,1,7,Bot,NA,NA,NA,NA,460026,NA,170408_010036,6.7597,-125.6485,-4.4095,-6.0236,22.5094,-28.5192,3.58,1.65,NA,NA,NA,85.669,2404,5.587,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,54.9119,0,0,NA,NA,NA,NA,NA,61,1,NA
FC,2017-04-07,86.3,-1.8975,5.8925,Hunter Renfroe,592669,502004,field_out,hit_into_play,NA,NA,NA,NA,8,Hunter Renfroe flies out sharply to center fielder Gorkys Hernandez.   Yangervis Solarte to 3rd.,R,R,R,SD,SF,X,8,fly_ball,2,1,2017,-0.3391,0.7727,-0.0501,1.8607,NA,500208,572114,0,7,Bot,126.67,42.92,NA,NA,460026,NA,170408_005938,4.9512,-125.2217,-4.8077,-4.3816,23.1265,-23.6287,3.56,1.69,351,100.9,35.739,84.905,2314,5.344,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.1549,0.4,0.77,0,1,0,0,5,60,4,1
FC,2017-04-07,86.1,-1.8741,5.717,Hunter Renfroe,592669,502004,NA,swinging_strike,NA,NA,NA,NA,14,NA,R,R,R,SD,SF,S,NA,NA,2,0,2017,-0.5726,0.3298,1.093,0.9465,NA,500208,572114,0,7,Bot,NA,NA,NA,NA,460026,NA,170408_005911,8.0129,-124.98,-5.7019,-7.2578,21.4249,-28.0283,3.56,1.69,NA,NA,NA,85.147,2277,5.471,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.0278,0,0,NA,NA,NA,NA,NA,60,3,NA
FC,2017-04-07,87.1,-1.8202,5.8112,Hunter Renfroe,592669,502004,NA,blocked_ball,NA,NA,NA,NA,14,NA,R,R,R,SD,SF,B,NA,NA,1,0,2017,-0.668,0.5347,1.5106,0.5465,NA,500208,572114,0,7,Bot,NA,NA,NA,NA,460026,NA,170408_005842,9.0945,-126.0597,-7.3284,-8.6799,24.7058,-25.4736,3.56,1.69,NA,NA,NA,85.301,2253,5.34,490159,502004,460026,474832,605412,456488,543063,431094,491676,592620,55.1588,0,0,NA,NA,NA,NA,NA,60,2,NA
