pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
CU,2017-04-15,79,-2.1575,5.6831,Jake Arrieta,453562,607192,field_out,hit_into_play,NA,NA,NA,NA,14,Jake Arrieta flies out to right fielder Andrew McCutchen.,R,R,R,CHC,PIT,X,9,fly_ball,0,2,2017,0.6989,-0.8638,0.8978,1.8027,519203,518792,575929,2,5,Bot,172.25,112.41,NA,NA,465041,NA,170415_201102,5.4109,-114.9759,0.0938,5.1765,24.3535,-40.2001,3.786,1.565,234,68.6,35.897,79.956,2675,7.237,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.2515,0.528,0.494,0,1,0,0,4,45,3,0
CH,2017-04-15,87.9,-2.3582,5.5301,Jake Arrieta,453562,607192,NA,called_strike,NA,NA,NA,NA,3,NA,R,R,R,CHC,PIT,S,NA,NA,0,1,2017,-0.734,0.8942,0.3522,2.9877,519203,518792,575929,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_201045,8.3485,-127.7916,-2.0482,-10.0648,24.9477,-21.64,3.4677,1.566,NA,NA,NA,90.193,1735,7.587,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8949,0,0,NA,NA,NA,NA,NA,45,2,NA
FT,2017-04-15,94.6,-2.3081,5.6283,Jake Arrieta,453562,607192,NA,called_strike,NA,NA,NA,NA,9,NA,R,R,R,CHC,PIT,S,NA,NA,0,0,2017,-1.223,1.4632,0.3111,2.0779,519203,518792,575929,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_201028,9.9122,-137.3716,-7.1533,-18.3692,29.3212,-11.3433,3.5853,1.7005,NA,NA,NA,96.871,2330,7.646,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9003,0,0,NA,NA,NA,NA,NA,45,1,NA
CH,2017-04-15,86.6,-2.128,5.594,Willson Contreras,575929,607192,walk,ball,NA,NA,NA,NA,12,Willson Contreras walks.   Jason Heyward to 2nd.,R,R,R,CHC,PIT,B,NA,NA,3,2,2017,-0.6876,0.9995,0.3259,3.4477,519203,NA,518792,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_200941,7.54,-126.036,-1.0935,-9.2342,25.6483,-20.8998,2.9974,1.398,NA,NA,NA,88.923,1683,7.757,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.7876,0,0,0.7,1,0,0,NA,44,6,NA
CU,2017-04-15,79.7,-2.1609,5.6084,Willson Contreras,575929,607192,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,B,NA,NA,2,2,2017,0.9457,-0.902,1.7786,1.6159,519203,NA,518792,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_200918,6.9363,-115.8403,-0.175,7.1302,25.2588,-40.5802,3.0814,1.4652,NA,NA,NA,80.246,2632,7.155,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.4009,0,0,NA,NA,NA,NA,NA,44,5,NA
FT,2017-04-15,95.8,-2.2362,5.6616,Willson Contreras,575929,607192,NA,foul,NA,NA,NA,NA,4,NA,R,R,R,CHC,PIT,S,NA,NA,2,1,2017,-1.2877,1.4913,-0.3744,2.4864,519203,NA,518792,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_200850,8.1704,-139.2491,-6.4334,-19.424,32.6968,-10.5414,3.786,1.565,206,69.6,38.0187,98.09,2497,7.702,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.7764,0,0,NA,NA,NA,NA,3,44,4,0
CH,2017-04-15,88.9,-2.3146,5.6089,Willson Contreras,575929,607192,NA,swinging_strike,NA,NA,NA,NA,13,NA,R,R,R,CHC,PIT,S,NA,NA,2,0,2017,-0.691,0.776,-0.6607,1.0887,519203,NA,518792,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_200826,5.7011,-129.3643,-6.9082,-9.2792,26.5081,-21.7975,3.786,1.565,NA,NA,NA,91.112,1505,7.575,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9269,0,0,NA,NA,NA,NA,NA,44,3,NA
CU,2017-04-15,79.3,-2.1754,5.7092,Willson Contreras,575929,607192,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,B,NA,NA,1,0,2017,1.2667,-0.9254,1.5698,1.0105,519203,NA,518792,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_200803,5.835,-115.2166,-1.5668,9.9251,26.8609,-40.2845,3.1486,1.4988,NA,NA,NA,79.347,2701,6.935,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.5279,0,0,NA,NA,NA,NA,NA,44,2,NA
FT,2017-04-15,94.2,-2.2646,5.6664,Willson Contreras,575929,607192,NA,ball,NA,NA,NA,NA,13,NA,R,R,R,CHC,PIT,B,NA,NA,0,0,2017,-1.4103,1.3667,-0.3162,1.0649,519203,NA,518792,2,5,Bot,NA,NA,NA,NA,465041,NA,170415_200743,8.566,-136.7399,-9.6599,-20.4793,29.6352,-12.1728,3.4341,1.6164,NA,NA,NA,96.573,2357,7.768,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.7743,0,0,NA,NA,NA,NA,NA,44,1,NA
FT,2017-04-15,95.4,-2.4161,5.6302,Jason Heyward,518792,607192,force_out,hit_into_play,NA,NA,NA,NA,14,"Jason Heyward grounds into a force out, second baseman Alen Hanson to shortstop Adam Frazier.   Anthony Rizzo to 3rd.    Ben Zobrist out at 2nd.    Jason Heyward to 1st.",R,L,R,CHC,PIT,X,4,ground_ball,0,0,2017,-1.1188,1.3282,0.3484,1.4017,NA,519203,450314,1,5,Bot,158.3,155.86,NA,NA,465041,NA,170415_200657,10.1008,-138.3399,-8.7528,-17.2334,30.4025,-12.5761,3.95,1.681,NA,82.9,-20.699,97.351,2229,7.572,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9659,0.075,0.069,0,1,0,0,2,43,1,0
