pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
CH,2017-04-28,82.8,0.169,5.8615,Devin Mesoraco,519023,462515,single,hit_into_play_no_out,NA,NA,NA,NA,2,Devin Mesoraco singles on a line drive to left fielder Randal Grichuk.   Scott Schebler to 2nd.,R,R,R,STL,CIN,X,NA,line_drive,1,1,2017,-1.0959,1.2348,-0.1995,3.1226,NA,NA,594988,2,8,Top,78.95,98.6,NA,NA,518700,NA,170429_025057,1.2113,-120.3196,-2.0795,-10.6263,22.8869,-20.3117,3.7502,1.5395,263,98.6,11.886,81.956,1599,5.623,490434,462515,518700,572761,543939,576397,649557,545341,451594,572039,54.7666,0.824,0.816,0.9,1,1,0,4,69,3,0
FT,2017-04-28,91.5,-0.0262,5.2847,Devin Mesoraco,519023,462515,NA,called_strike,NA,NA,NA,NA,1,NA,R,R,R,STL,CIN,S,NA,NA,1,0,2017,-1.314,0.5978,-0.4433,3.0452,NA,NA,594988,2,8,Top,NA,NA,NA,NA,518700,NA,170429_025032,1.7125,-133.093,-1.0781,-15.8344,26.8271,-25.1281,3.1866,1.5621,NA,NA,NA,91.228,2035,5.986,490434,462515,518700,572761,543939,576397,649557,545341,451594,572039,54.5018,0,0,NA,NA,NA,NA,NA,69,2,NA
SL,2017-04-28,83.2,0.0198,5.7234,Devin Mesoraco,519023,462515,NA,blocked_ball,NA,NA,NA,NA,14,NA,R,R,R,STL,CIN,B,NA,NA,0,0,2017,0.1366,0.5442,0.505,0.5508,NA,NA,594988,2,8,Top,NA,NA,NA,NA,518700,NA,170429_025004,0.8409,-120.7067,-6.3311,1.1415,23.6629,-25.9771,3.0626,1.5395,NA,NA,NA,82.132,2213,5.727,490434,462515,518700,572761,543939,576397,649557,545341,451594,572039,54.7605,0,0,NA,NA,NA,NA,NA,69,1,NA
FF,2017-04-28,94.7,-1.487,6.0448,Devin Mesoraco,519023,458681,walk,ball,NA,NA,NA,NA,12,Devin Mesoraco walks.   Eugenio Suarez to 3rd.    Scott Schebler to 2nd.,R,R,R,STL,CIN,B,NA,NA,3,2,2017,-0.3763,1.358,1.1463,3.8177,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015827,7.673,-137.3679,-3.1025,-6.4509,30.5356,-14.58,3.3666,1.6939,NA,NA,NA,94.217,2524,6.24,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.3102,0,0,0.7,1,0,0,NA,45,9,NA
FC,2017-04-28,87.3,-1.6029,5.8166,Devin Mesoraco,519023,458681,NA,foul,NA,NA,NA,NA,3,NA,R,R,R,STL,CIN,S,NA,NA,3,2,2017,0.5958,0.693,0.3492,3.095,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015749,3.4684,-126.9776,-1.825,5.7012,23.4032,-24.6867,3.4793,1.4346,138,72.9,15.2261,86.621,2459,5.669,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.844,0,0,NA,NA,NA,NA,4,45,8,0
FT,2017-04-28,93.8,-1.4276,5.9488,Devin Mesoraco,519023,458681,NA,foul,NA,NA,NA,NA,11,NA,R,R,R,STL,CIN,S,NA,NA,3,2,2017,-1.1588,0.6117,-1.2574,2.8491,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015708,2.9792,-136.4315,-3.6509,-15.1073,28.9148,-23.969,3.4793,1.4346,249,95.6,19.6244,93.88,2307,6.281,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.2306,0,0,NA,NA,NA,NA,4,45,7,0
FT,2017-04-28,94.8,-1.5243,5.6766,Devin Mesoraco,519023,458681,NA,foul,NA,NA,NA,NA,2,NA,R,R,R,STL,CIN,S,NA,NA,3,2,2017,-0.6441,0.6413,0.095,3.5094,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015556,5.5985,-137.2956,-1.4885,-9.3525,26.055,-23.812,3.4793,1.4346,NA,NA,NA,95.116,2431,6.496,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.1346,0,0,NA,NA,NA,NA,NA,45,6,NA
FF,2017-04-28,94.1,-1.6261,6.0701,Devin Mesoraco,519023,458681,NA,swinging_strike,NA,NA,NA,NA,3,NA,R,R,R,STL,CIN,S,NA,NA,3,1,2017,-0.7561,1.4505,0.5988,2.9501,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015522,7.387,-136.5574,-5.5307,-10.9932,28.9797,-13.135,3.4793,1.4346,NA,NA,NA,93.642,2382,6.165,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.4117,0,0,NA,NA,NA,NA,NA,45,5,NA
FT,2017-04-28,91.7,-1.5932,5.6525,Devin Mesoraco,519023,458681,NA,called_strike,NA,NA,NA,NA,5,NA,R,R,R,STL,CIN,S,NA,NA,3,0,2017,-1.051,0.1359,-0.2451,2.0837,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015453,5.6341,-133.3114,-3.5,-13.6425,25.6877,-30.0757,3.1186,1.5135,NA,NA,NA,91.927,2292,6.19,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.2627,0,0,NA,NA,NA,NA,NA,45,4,NA
FF,2017-04-28,94.2,-1.3465,5.997,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,STL,CIN,B,NA,NA,2,0,2017,-0.424,1.5595,1.816,1.5152,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015416,9.0698,-136.3134,-9.2115,-7.3031,31.0046,-11.0364,3.3553,1.7052,NA,NA,NA,93.444,2429,6.172,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.2791,0,0,NA,NA,NA,NA,NA,45,3,NA
FC,2017-04-28,86.4,-1.6703,5.6153,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,STL,CIN,B,NA,NA,1,0,2017,0.4523,0.1607,1.6616,1.9117,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015348,6.9539,-125.5597,-2.9582,3.4864,22.2288,-30.1924,3.3666,1.6827,NA,NA,NA,85.951,2477,5.68,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.7118,0,0,NA,NA,NA,NA,NA,45,2,NA
FF,2017-04-28,91.8,-1.3888,6.019,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,STL,CIN,B,NA,NA,0,0,2017,-0.5493,1.5626,1.9608,2.7446,NA,553993,594988,2,6,Top,NA,NA,NA,NA,425877,NA,170429_015314,9.5173,-132.8611,-5.6093,-8.482,29.0907,-12.9854,3.3102,1.6601,NA,NA,NA,90.761,2373,5.914,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.5003,0,0,NA,NA,NA,NA,NA,45,1,NA
FF,2017-04-28,93.6,-1.3616,5.9986,Devin Mesoraco,519023,458681,strikeout,swinging_strike,NA,NA,NA,NA,12,Devin Mesoraco strikes out swinging.,R,R,R,STL,CIN,S,NA,NA,1,2,2017,-0.3912,1.2741,1.094,2.8921,NA,458015,553993,2,4,Top,NA,NA,NA,NA,425877,NA,170429_012125,7.1267,-135.8686,-5.0112,-6.2811,28.0587,-15.6928,3.4793,1.4346,NA,NA,NA,93.057,2535,6.014,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.5271,0,0,0,1,0,0,NA,28,4,NA
FC,2017-04-28,87.6,-1.5086,5.943,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,STL,CIN,B,NA,NA,0,2,2017,0.381,0.7546,1.7552,2.9939,NA,458015,553993,2,4,Top,NA,NA,NA,NA,425877,NA,170429_012058,6.985,-127.0534,-2.464,2.7088,23.7894,-23.9978,3.3553,1.7616,NA,NA,NA,86.257,2508,5.387,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,55.0819,0,0,NA,NA,NA,NA,NA,28,3,NA
FT,2017-04-28,93.1,-1.4816,5.905,Devin Mesoraco,519023,458681,NA,foul,NA,NA,NA,NA,13,NA,R,R,R,STL,CIN,S,NA,NA,0,1,2017,-1.1776,0.6292,-0.8992,1.6423,NA,458015,553993,2,4,Top,NA,NA,NA,NA,425877,NA,170429_012004,3.9548,-135.0675,-6.4123,-14.9824,29.2138,-23.4819,3.4793,1.4346,3,39.4,-25.7294,92.08,2257,5.755,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.686,0,0,NA,NA,NA,NA,1,28,2,0
FC,2017-04-28,87.7,-1.7316,5.8354,Devin Mesoraco,519023,458681,NA,called_strike,NA,NA,NA,NA,9,NA,R,R,R,STL,CIN,S,NA,NA,0,0,2017,-0.2228,0.6505,0.6158,1.6927,NA,458015,553993,2,4,Top,NA,NA,NA,NA,425877,NA,170429_011938,6.0097,-127.2979,-5.1455,-3.467,23.2273,-24.5461,3.1073,1.5473,NA,NA,NA,86.625,2522,5.483,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,55.0103,0,0,NA,NA,NA,NA,NA,28,1,NA
FT,2017-04-28,92.6,-1.6094,5.6371,Devin Mesoraco,519023,458681,field_out,hit_into_play,NA,NA,NA,NA,4,"Devin Mesoraco grounds out, third baseman Jedd Gyorko to first baseman Matt Carpenter.",R,R,R,STL,CIN,X,5,ground_ball,3,2,2017,-1.359,0.134,-0.4292,2.34,NA,NA,NA,2,2,Top,108.81,165.43,NA,NA,425877,NA,170429_003729,5.8193,-134.4273,-2.8685,-17.3919,28.2102,-30.2153,3.4792,1.4345,6,73.2,-20.698,91.69,2246,5.741,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.7079,0.044,0.042,0,1,0,0,2,10,6,0
FT,2017-04-28,92,-1.6712,5.7215,Devin Mesoraco,519023,458681,NA,foul,NA,NA,NA,NA,13,NA,R,R,R,STL,CIN,S,NA,NA,3,1,2017,-1.2297,0.4616,-0.9572,2.3191,NA,NA,NA,2,2,Top,NA,NA,NA,NA,425877,NA,170429_003702,4.3424,-133.6077,-3.7096,-15.3407,28.6073,-26.2156,3.4792,1.4345,NA,NA,NA,90.997,2369,5.708,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.7357,0,0,NA,NA,NA,NA,NA,10,5,NA
FF,2017-04-28,90.6,-1.7232,6.0059,Devin Mesoraco,519023,458681,NA,called_strike,NA,NA,NA,NA,2,NA,R,R,R,STL,CIN,S,NA,NA,3,0,2017,-0.3842,1.7174,0.0746,2.8517,NA,NA,NA,2,2,Top,NA,NA,NA,NA,425877,NA,170429_003646,5.2152,-131.2648,-5.3762,-5.506,29.366,-11.8338,3.1974,1.6262,NA,NA,NA,89.292,2400,5.789,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.6621,0,0,NA,NA,NA,NA,NA,10,4,NA
FF,2017-04-28,91.5,-1.6016,5.834,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,STL,CIN,B,NA,NA,2,0,2017,-0.4374,1.3061,1.0151,2.8567,NA,NA,NA,2,2,Top,NA,NA,NA,NA,425877,NA,170429_003625,7.4415,-132.6088,-4.3142,-6.6822,28.4416,-16.2957,3.2989,1.6601,NA,NA,NA,90.586,2329,5.937,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.5429,0,0,NA,NA,NA,NA,NA,10,3,NA
FF,2017-04-28,92.5,-1.5788,6.0189,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,STL,CIN,B,NA,NA,1,0,2017,-0.5257,1.4126,-0.2559,3.576,NA,NA,NA,2,2,Top,NA,NA,NA,NA,425877,NA,170429_003607,4.422,-134.2086,-3.3364,-7.1812,29.5914,-15.0123,3.3214,1.6713,NA,NA,NA,91.133,2414,5.711,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.839,0,0,NA,NA,NA,NA,NA,10,2,NA
FF,2017-04-28,92.5,-1.6386,5.8918,Devin Mesoraco,519023,458681,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,STL,CIN,B,NA,NA,0,0,2017,-0.6548,1.2147,0.4058,3.657,NA,NA,NA,2,2,Top,NA,NA,NA,NA,425877,NA,170429_003554,6.5089,-134.1548,-2.4074,-9.1546,29.1049,-17.5353,3.2312,1.6262,NA,NA,NA,91.454,2513,5.743,490434,458681,425877,572761,543939,576397,649557,545341,451594,572039,54.6633,0,0,NA,NA,NA,NA,NA,10,1,NA
FF,2017-05-06,92.6,-2.4772,5.8368,Devin Mesoraco,519023,457768,field_out,hit_into_play,NA,NA,NA,NA,4,"Devin Mesoraco grounds out, shortstop Eduardo Nunez to first baseman Brandon Belt.",R,R,R,CIN,SF,X,6,ground_ball,0,1,2017,-0.59,1.5059,-0.4198,2.0107,NA,NA,NA,2,6,Bot,111.26,156.64,NA,NA,460026,NA,170507_011031,6.5901,-134.3792,-7.3011,-8.6725,29.0626,-12.2922,3.11,1.39,63,70.3,3.314,93.129,1991,6.74,490554,457768,460026,474832,605509,543216,456488,448605,491676,452254,53.7585,0.149,0.14,0,1,0,0,2,61,2,0
