pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-04-15,93,-2.5573,5.323,Jesse Winker,608385,448614,double,hit_into_play_score,NA,NA,NA,NA,8,Jesse Winker doubles (1) on a soft line drive to left fielder Ryan Braun.   Scooter Gennett scores.    Zack Cozart scores.,R,L,R,CIN,MIL,X,NA,line_drive,0,0,2017,0.0869,1.6201,0.2225,2.0084,571697,446359,NA,1,6,Bot,79.94,116.57,NA,NA,542908,NA,170415_192354,6.9005,-134.9589,-6.2111,-0.3264,27.1237,-11.3618,3.34,1.57,212,68.3,28.524,92.809,2275,6.148,490262,448614,542908,519346,542340,541650,606115,460075,542979,570267,54.3506,0.887,0.814,1.25,1,1,1,4,53,1,0
FS,2017-04-14,81.6,1.0412,6.3853,Jesse Winker,608385,543118,strikeout,swinging_strike,NA,NA,NA,NA,13,Jesse Winker strikes out swinging.,R,L,R,CIN,MIL,S,NA,NA,1,2,2017,-1.0649,0.4795,-0.9873,0.8927,NA,NA,571697,2,9,Bot,NA,NA,NA,NA,444489,NA,170415_023122,-2.5182,-118.5429,-6.6895,-9.5969,22.8669,-26.552,3.34,1.57,NA,NA,NA,81.748,774,6.495,490247,543118,444489,519346,542340,543768,606115,543590,542979,541650,54.0042,0,0,0,1,0,0,NA,82,4,NA
FS,2017-04-14,82.2,0.8748,6.2855,Jesse Winker,608385,543118,NA,blocked_ball,NA,NA,NA,NA,13,NA,R,L,R,CIN,MIL,B,NA,NA,0,2,2017,-0.7952,0.5299,-1.1123,0.7369,NA,NA,571697,2,9,Bot,NA,NA,NA,NA,444489,NA,170415_023048,-2.9656,-119.3855,-7.0714,-7.0841,23.4663,-25.8791,3.34,1.57,NA,NA,NA,82.496,782,6.632,490247,543118,444489,519346,542340,543768,606115,543590,542979,541650,53.8665,0,0,NA,NA,NA,NA,NA,82,3,NA
FF,2017-04-14,92.1,0.2032,6.1446,Jesse Winker,608385,543118,NA,foul,NA,NA,NA,NA,8,NA,R,L,R,CIN,MIL,S,NA,NA,0,1,2017,-1.071,1.5058,-0.2236,1.4614,NA,NA,571697,2,9,Bot,NA,NA,NA,NA,444489,NA,170415_023019,1.2615,-133.7406,-9.3931,-13.2869,27.7937,-12.1,3.34,1.57,NA,NA,NA,92.672,2092,6.655,490247,543118,444489,519346,542340,543768,606115,543590,542979,541650,53.8438,0,0,NA,NA,NA,NA,NA,82,2,NA
FS,2017-04-14,82.8,1.0767,6.3247,Jesse Winker,608385,543118,NA,called_strike,NA,NA,NA,NA,2,NA,R,L,R,CIN,MIL,S,NA,NA,0,0,2017,-0.9989,0.5064,0.0113,2.7995,NA,NA,571697,2,9,Bot,NA,NA,NA,NA,444489,NA,170415_022960,-0.4994,-120.5506,-2.5995,-9.679,21.8914,-26.9515,3.34,1.57,NA,NA,NA,83.092,851,6.299,490247,543118,444489,519346,542340,543768,606115,543590,542979,541650,54.1996,0,0,NA,NA,NA,NA,NA,82,1,NA
CH,2017-06-21,81.8,-0.5878,6.4917,Jesse Winker,608385,595032,field_out,hit_into_play,NA,NA,NA,NA,1,"Jesse Winker grounds out, second baseman Taylor Featherston to first baseman Logan Morrison.",R,L,R,TB,CIN,X,4,ground_ball,1,1,2017,-1.0561,0.8608,-0.6825,3.0731,458015,594807,594988,2,8,Top,145,142.63,NA,NA,491696,NA,170621_191647,1.8244,-119.0424,-2.8485,-10.4462,21.7007,-23.6093,3.7775,1.5024,65,96.3,2.317,82.226,1388,6.451,491174,595032,491696,489149,605227,461858,621002,605480,488721,519306,54.0486,0.491,0.46,0,1,0,0,4,71,3,0
CH,2017-06-21,81.2,-0.6027,6.4659,Jesse Winker,608385,595032,NA,swinging_strike,NA,NA,NA,NA,8,NA,R,L,R,TB,CIN,S,NA,NA,1,0,2017,-1.1021,0.7789,-0.0213,1.4718,458015,594807,594988,2,8,Top,NA,NA,NA,NA,491696,NA,170621_191620,3.4124,-118.0448,-6.1044,-10.9981,20.871,-23.9432,3.7775,1.5024,NA,NA,NA,81.605,1242,6.451,491174,595032,491696,489149,605227,461858,621002,605480,488721,519306,54.049,0,0,NA,NA,NA,NA,NA,71,2,NA
CH,2017-06-21,81.3,-0.6369,6.4501,Jesse Winker,608385,595032,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,TB,CIN,B,NA,NA,0,0,2017,-1.1381,0.8699,-1.021,3.0301,458015,594807,594988,2,8,Top,NA,NA,NA,NA,491696,NA,170621_191558,1.3174,-118.2377,-2.7476,-10.9799,21.9562,-23.6621,3.6279,1.6147,NA,NA,NA,81.597,1326,6.455,491174,595032,491696,489149,605227,461858,621002,605480,488721,519306,54.0452,0,0,NA,NA,NA,NA,NA,71,1,NA
FF,2017-06-21,98.1,0.6861,6.4101,Jesse Winker,608385,621237,double,hit_into_play_no_out,NA,NA,NA,NA,4,Jesse Winker doubles (2) on a sharp line drive to left fielder Mallex Smith.,R,L,L,TB,CIN,X,NA,line_drive,1,0,2017,0.2633,0.97,-0.4372,2.728,NA,NA,NA,0,7,Top,30.22,91.53,NA,NA,491696,NA,170621_184647,-3.6729,-142.6582,-6.8157,4.4393,30.4916,-17.4408,3.7775,1.5024,338,100.6,22.414,99.002,2103,6.662,491174,621237,491696,489149,605227,461858,621002,605480,488721,519306,53.8382,0.652,0.979,1.25,1,1,1,5,58,2,0
FF,2017-06-21,97.8,0.5445,6.5459,Jesse Winker,608385,621237,NA,ball,NA,NA,NA,NA,13,NA,R,L,L,TB,CIN,B,NA,NA,0,0,2017,-0.1671,1.1499,-2.0517,2.3705,NA,NA,NA,0,7,Top,NA,NA,NA,NA,491696,NA,170621_184621,-6.6296,-141.9922,-8.4461,-0.8417,30.8861,-14.8145,3.3785,1.5149,NA,NA,NA,98.236,2215,6.538,491174,621237,491696,489149,605227,461858,621002,605480,488721,519306,53.9618,0,0,NA,NA,NA,NA,NA,58,1,NA
FF,2017-06-21,91.3,-1.8172,5.3013,Jesse Winker,608385,541640,field_out,hit_into_play,NA,NA,NA,NA,6,Jesse Winker flies out to center fielder Peter Bourjos.,R,L,R,TB,CIN,X,8,fly_ball,0,1,2017,-0.8873,1.2923,0.8231,2.7661,NA,NA,NA,1,5,Top,127.36,69.06,NA,NA,491696,NA,170621_173732,8.445,-132.3674,-3.1588,-12.1359,28.8439,-16.7257,3.6578,1.436,284,80.3,37.579,90.459,2335,6.02,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.4798,0.013,0.016,0,1,0,0,3,37,2,0
FC,2017-06-21,88.4,-1.8676,5.4898,Jesse Winker,608385,541640,NA,called_strike,NA,NA,NA,NA,8,NA,R,L,R,TB,CIN,S,NA,NA,0,0,2017,-0.1582,0.9761,-0.0324,1.5242,NA,NA,NA,1,5,Top,NA,NA,NA,NA,491696,NA,170621_173708,4.7594,-128.2794,-5.5451,-2.6789,25.5069,-20.601,3.6403,1.4775,NA,NA,NA,87.906,2468,6.038,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.4616,0,0,NA,NA,NA,NA,NA,37,1,NA
FT,2017-06-21,93,-1.8891,5.5235,Jesse Winker,608385,541640,field_out,hit_into_play,NA,NA,NA,NA,4,Jesse Winker lines out to center fielder Peter Bourjos.,R,L,R,TB,CIN,X,8,line_drive,0,1,2017,-1.8893,0.9082,-0.6498,2.2623,NA,NA,NA,1,3,Top,127.19,67.06,NA,NA,491696,NA,170621_164645,7.1851,-134.8657,-4.4434,-24.3498,31.0596,-20.4857,3.6578,1.436,361,97.3,20.07,92.026,2342,6.023,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.4765,0.375,0.476,0,1,0,0,4,15,2,0
FC,2017-06-21,88.2,-1.8043,5.5218,Jesse Winker,608385,541640,NA,called_strike,NA,NA,NA,NA,6,NA,R,L,R,TB,CIN,S,NA,NA,0,0,2017,0.0507,0.7716,0.3697,2.4052,NA,NA,NA,1,3,Top,NA,NA,NA,NA,491696,NA,170621_164619,5.1474,-128.1627,-3.0972,-0.3935,23.6681,-23.3382,3.578,1.5274,NA,NA,NA,88.027,2473,6.015,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.485,0,0,NA,NA,NA,NA,NA,15,1,NA
