pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-04-08,97.1,-1.6368,5.4007,Jose Peraza,606299,592815,single,hit_into_play_no_out,NA,NA,NA,NA,5,Jose Peraza singles on a sharp ground ball to right fielder Jose Martinez.,R,R,R,STL,CIN,X,NA,ground_ball,0,2,2017,-0.8083,1.3329,0.2581,2.59,NA,NA,NA,2,9,Top,178.46,113.26,NA,NA,518700,NA,170408_210204,6.833,-140.9436,-4.9412,-12.1846,31.3993,-13.7192,3.746,1.535,31,103.8,-2.348,96.626,2458,6.008,490166,592815,518700,576397,543939,594824,649557,545341,451594,500874,54.3996,0.449,0.417,0.9,1,1,0,4,79,3,0
SL,2017-04-08,88,-1.7149,5.329,Jose Peraza,606299,592815,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,STL,CIN,S,NA,NA,0,1,2017,0.3988,0.4471,0.1512,2.1739,NA,NA,NA,2,9,Top,NA,NA,NA,NA,518700,NA,170408_210141,3.6861,-127.7931,-2.4226,3.5437,26.6296,-27.0713,4.121,1.535,140,64.4,66.0796,87.265,1996,5.988,490166,592815,518700,576397,543939,594824,649557,545341,451594,500874,54.5409,0,0,NA,NA,NA,NA,3,79,2,0
FF,2017-04-08,95.6,-1.512,5.5355,Jose Peraza,606299,592815,NA,called_strike,NA,NA,NA,NA,9,NA,R,R,R,STL,CIN,S,NA,NA,0,0,2017,-0.71,1.2621,0.4943,1.4093,NA,NA,NA,2,9,Top,NA,NA,NA,NA,518700,NA,170408_210124,6.783,-138.6392,-7.9622,-10.4925,29.1994,-14.6064,3.3122,1.5288,NA,NA,NA,94.93,2341,5.936,490166,592815,518700,576397,543939,594824,649557,545341,451594,500874,54.5483,0,0,NA,NA,NA,NA,NA,79,1,NA
FC,2017-04-07,88.2,-1.9008,5.5769,Jose Peraza,606299,502190,field_out,hit_into_play,NA,NA,NA,NA,6,Jose Peraza flies out to right fielder Stephen Piscotty.,R,R,R,STL,CIN,X,9,fly_ball,1,1,2017,0.0434,0.9747,0.3123,2.326,NA,NA,NA,2,8,Top,183.37,97.01,NA,NA,425877,NA,170408_020059,5.1543,-127.8893,-3.6177,-0.6048,26.3047,-21.4815,3.746,1.535,288,82.8,32.503,85.939,2155,5.041,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.474,0.024,0.028,0,1,0,0,3,55,3,0
SL,2017-04-07,80.2,-1.9466,5.4023,Jose Peraza,606299,502190,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,STL,CIN,B,NA,NA,0,1,2017,0.9993,-0.1615,0.2918,1.4385,NA,NA,NA,2,8,Top,NA,NA,NA,NA,425877,NA,170408_020045,3.0835,-116.3913,-1.7321,8.0342,21.6229,-33.5364,3.6461,1.6272,NA,NA,NA,78.004,2448,4.755,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.648,0,0,NA,NA,NA,NA,NA,55,2,NA
SI,2017-04-07,89.4,-2.0485,5.3109,Jose Peraza,606299,502190,NA,called_strike,NA,NA,NA,NA,4,NA,R,R,R,STL,CIN,S,NA,NA,0,0,2017,-0.9366,0.7301,-0.8077,2.5623,NA,NA,NA,2,8,Top,NA,NA,NA,NA,425877,NA,170408_020034,4.8359,-129.6895,-2.1561,-11.2118,27.9382,-24.0593,3.6348,1.8305,NA,NA,NA,87.505,2024,5.289,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.1766,0,0,NA,NA,NA,NA,NA,55,1,NA
CH,2017-04-07,86.5,-1.9325,5.4307,Jose Peraza,606299,502190,field_out,hit_into_play,NA,NA,NA,NA,13,"Jose Peraza grounds out, shortstop Aledmys Diaz to first baseman Matt Carpenter.",R,R,R,STL,CIN,X,6,ground_ball,0,1,2017,-1.3291,-0.0124,-0.2469,1.2848,NA,571740,NA,0,6,Top,111.11,159.41,NA,NA,425877,NA,170408_013132,6.5038,-125.4618,-3.5895,-14.923400000000001,24.3114,-31.8543,3.746,1.535,NA,82.9,-20.699,85.252,1783,5.481,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,54.9428,0.075,0.069,0,1,0,0,2,39,2,0
FC,2017-04-07,89.4,-2.0779,5.6949,Jose Peraza,606299,502190,NA,swinging_strike,NA,NA,NA,NA,9,NA,R,R,R,STL,CIN,S,NA,NA,0,0,2017,-0.3444,0.865,0.4859,2.0208,NA,NA,571740,0,6,Top,NA,NA,NA,NA,425877,NA,170408_013046,6.7639,-129.4742,-4.601,-5.01,25.4391,-22.3027,3.746,1.535,NA,NA,NA,86.93,2174,4.74,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.655,0,0,NA,NA,NA,NA,NA,39,1,NA
SI,2017-04-07,91.4,-1.9996,5.5618,Jose Peraza,606299,502190,field_out,hit_into_play,NA,NA,NA,NA,5,Jose Peraza flies out to right fielder Stephen Piscotty.,R,R,R,STL,CIN,X,9,fly_ball,1,1,2017,-1.0152,0.7732,-0.1612,2.5126,NA,NA,571740,2,3,Top,190.27,106.53,NA,NA,425877,NA,170408_004627,6.5342,-132.5167,-3.3086,-12.8324,26.9385,-23.0045,3.5784,1.6724,264,84.3,40.132,89.424,2071,5.113,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.3435,0.012,0.014,0,1,0,0,3,18,3,0
FF,2017-04-07,90.1,-1.9522,5.7826,Jose Peraza,606299,502190,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,STL,CIN,B,NA,NA,0,1,2017,-0.4991,1.168,1.2143,2.1368,NA,NA,571740,2,3,Top,NA,NA,NA,NA,425877,NA,170408_004538,8.579,-130.3015,-5.1908,-7.2659,28.4114,-18.7167,3.5107,1.6837,NA,NA,NA,87.23,2218,4.891,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.598,0,0,NA,NA,NA,NA,NA,18,2,NA
FC,2017-04-07,88.7,-2.0787,5.2511,Jose Peraza,606299,502190,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,STL,CIN,S,NA,NA,0,0,2017,-0.2439,0.1672,0.1508,1.788,NA,NA,571740,2,3,Top,NA,NA,NA,NA,425877,NA,170408_004509,5.807,-128.7827,-2.7251,-3.7401,24.7045,-30.1024,3.746,1.535,NA,NA,NA,87.23,2074,5.236,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.1947,0,0,NA,NA,NA,NA,NA,18,1,NA
CH,2017-04-07,85.9,-2.0365,5.4934,Jose Peraza,606299,502190,field_out,hit_into_play,NA,NA,NA,NA,7,Jose Peraza lines out to second baseman Kolten Wong.,R,R,R,STL,CIN,X,4,line_drive,0,1,2017,-1.1785,0.1194,-0.7075,2.1057,NA,NA,NA,1,1,Top,138.51,153.31,NA,NA,425877,NA,170408_001714,5.2943,-124.6056,-1.9562,-12.8642,24.2577,-30.8589,3.746,1.535,NA,91.1,18.199,84.069,1828,5.217,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,55.3113,0.48,0.496,0,1,0,0,4,2,2,0
