pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-04-07,96.4,-1.5959,5.7732,Phil Gosselin,594838,527055,field_out,hit_into_play,NA,NA,NA,NA,3,"Phil Gosselin grounds out, shortstop Dansby Swanson to first baseman Freddie Freeman.   Andrew McCutchen to 3rd.",R,R,R,PIT,ATL,X,6,ground_ball,3,2,2017,-1.0935,1.5433,0.3328,2.9003,NA,457705,NA,1,8,Bot,108.56,152.52,NA,NA,435559,NA,170407_201653,7.4068,-139.8229,-5.3092,-15.6583,33.4953,-11.5793,3.39,1.59,7,96.9,-21.25,94.569,2158,5.545,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,54.9561,0.172,0.158,0,1,0,0,2,75,8,0
SL,2017-04-07,81.2,-1.47,5.9891,Phil Gosselin,594838,527055,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,PIT,ATL,B,NA,NA,2,2,2017,0.9307,-0.2006,2.738,-0.5559,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201555,7.495,-117.4918,-7.2033,6.2477,28.632,-32.5205,3.39,1.59,NA,NA,NA,78.064,2569,5.056,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,55.4455,0,0,NA,NA,NA,NA,NA,75,7,NA
FF,2017-04-07,96.5,-1.6776,5.7646,Phil Gosselin,594838,527055,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,PIT,ATL,S,NA,NA,2,2,2017,-0.9441,1.8637,0.0431,1.9254,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201527,6.5682,-139.8742,-8.5182,-13.6764,36.772,-6.6371,3.39,1.59,NA,NA,NA,94.394,2432,5.657,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,54.8443,0,0,NA,NA,NA,NA,NA,75,6,NA
FF,2017-04-07,95.8,-1.6616,5.8631,Phil Gosselin,594838,527055,NA,foul,NA,NA,NA,NA,5,NA,R,R,R,PIT,ATL,S,NA,NA,2,2,2017,-1.1451,1.8063,-0.2174,2.4059,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201453,6.219,-138.8895,-7.2034,-15.8807,38.0544,-8.1504,3.39,1.59,173,71.6,54.2071,93.325,2453,5.548,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,54.953,0,0,NA,NA,NA,NA,3,75,5,0
FF,2017-04-07,96.2,-1.7941,5.7261,Phil Gosselin,594838,527055,NA,foul,NA,NA,NA,NA,2,NA,R,R,R,PIT,ATL,S,NA,NA,2,1,2017,-0.981,1.3821,0.0442,2.9073,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201425,6.9621,-139.6234,-4.8117,-14.2033,34.8863,-13.6851,3.39,1.59,187,71.6,57.5844,94.6,2379,5.752,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,54.7498,0,0,NA,NA,NA,NA,3,75,4,0
FT,2017-04-07,95.2,-1.73,5.6994,Phil Gosselin,594838,527055,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,PIT,ATL,B,NA,NA,1,1,2017,-1.2451,1.2932,-1.8598,2.6645,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201401,2.3191,-138.4253,-5.0183,-16.0006,32.131,-15.2217,3.39,1.59,NA,NA,NA,93.53,2273,5.437,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,55.0643,0,0,NA,NA,NA,NA,NA,75,3,NA
SL,2017-04-07,85.4,-1.7476,6,Phil Gosselin,594838,527055,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,PIT,ATL,B,NA,NA,0,1,2017,-0.1356,0.4592,1.9284,2.5344,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201312,8.711,-123.5638,-2.3985,-3.7018,34.0034,-27.4642,3.39,1.59,NA,NA,NA,82.189,2228,5.347,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,55.1542,0,0,NA,NA,NA,NA,NA,75,2,NA
FF,2017-04-07,95.2,-1.5077,5.8676,Phil Gosselin,594838,527055,NA,called_strike,NA,NA,NA,NA,9,NA,R,R,R,PIT,ATL,S,NA,NA,0,0,2017,-1.0827,1.5579,0.5832,1.9338,NA,NA,457705,1,8,Bot,NA,NA,NA,NA,435559,NA,170407_201237,7.7106,-137.9573,-7.8179,-15.2735,35.1505,-11.3233,3.39,1.59,NA,NA,NA,93.025,2273,5.564,490148,527055,435559,518692,408252,611177,621020,488818,542255,455976,54.9369,0,0,NA,NA,NA,NA,NA,75,1,NA
SI,2017-04-05,87.6,4.3277,4.1571,Phil Gosselin,594838,582494,strikeout,swinging_strike,NA,NA,NA,NA,5,Phil Gosselin strikes out swinging.,R,R,L,BOS,PIT,S,NA,NA,2,2,2017,1.663,1.1883,-0.129,2.1686,NA,NA,465041,2,10,Top,NA,NA,NA,NA,506702,NA,170406_020753,-13.9372,-126.6186,-0.9514,20.5442,27.4725,-19.7016,3.36,1.55,NA,NA,NA,86.172,2230,5.892,490130,582494,506702,519048,456030,467055,593428,643217,598265,455759,54.6082,0,0,0,1,0,0,NA,67,6,NA
CU,2017-04-05,73,4.1314,4.1122,Phil Gosselin,594838,582494,NA,foul,NA,NA,NA,NA,9,NA,R,R,L,BOS,PIT,S,NA,NA,2,2,2017,-1.6214,0.1111,0.4628,1.576,NA,NA,465041,2,10,Top,NA,NA,NA,NA,506702,NA,170406_020721,-4.5904,-106.1139,2.1782,-11.1539,20.7802,-32.0288,3.36,1.55,NA,NA,NA,72.382,2251,6.207,490130,582494,506702,519048,456030,467055,593428,643217,598265,455759,54.2929,0,0,NA,NA,NA,NA,NA,67,5,NA
SI,2017-04-05,87.5,4.1297,4.3499,Phil Gosselin,594838,582494,NA,ball,NA,NA,NA,NA,12,NA,R,R,L,BOS,PIT,B,NA,NA,1,2,2017,1.5737,1.3081,0.9392,3.859,NA,NA,465041,2,10,Top,NA,NA,NA,NA,506702,NA,170406_020654,-10.9364,-126.9118,2.3563,19.3748,28.9217,-18.9136,3.36,1.55,NA,NA,NA,86.978,2204,6.398,490130,582494,506702,519048,456030,467055,593428,643217,598265,455759,54.102,0,0,NA,NA,NA,NA,NA,67,4,NA
CU,2017-04-05,72.5,3.065,5.1078,Phil Gosselin,594838,582494,NA,called_strike,NA,NA,NA,NA,9,NA,R,R,L,BOS,PIT,S,NA,NA,1,1,2017,-1.2945,-0.9741,0.2977,1.7923,NA,NA,465041,2,10,Top,NA,NA,NA,NA,506702,NA,170406_020601,-3.3171,-105.4564,2.5401,-8.971,19.8197,-40.1059,3.36,1.55,NA,NA,NA,72.296,2304,6.395,490130,582494,506702,519048,456030,467055,593428,643217,598265,455759,54.1045,0,0,NA,NA,NA,NA,NA,67,3,NA
CH,2017-04-05,83.3,3.4255,4.9806,Phil Gosselin,594838,582494,NA,foul,NA,NA,NA,NA,9,NA,R,R,L,BOS,PIT,S,NA,NA,1,0,2017,1.3844,0.4494,0.4407,1.8847,NA,NA,465041,2,10,Top,NA,NA,NA,NA,506702,NA,170406_020529,-9.6445,-121.0596,-1.5486,15.6039,23.231,-27.6096,3.36,1.55,8,57.7,-13.8314,83.749,1507,6.617,490130,582494,506702,519048,456030,467055,593428,643217,598265,455759,53.8825,0,0,NA,NA,NA,NA,1,67,2,0
CH,2017-04-05,84,3.6186,4.8358,Phil Gosselin,594838,582494,NA,ball,NA,NA,NA,NA,14,NA,R,R,L,BOS,PIT,B,NA,NA,0,0,2017,1.4399,0.5059,0.7204,1.3722,NA,NA,465041,2,10,Top,NA,NA,NA,NA,506702,NA,170406_020510,-9.6511,-121.9577,-2.6222,16.4363,23.9076,-26.7461,3.36,1.55,NA,NA,NA,84.451,1638,6.701,490130,582494,506702,519048,456030,467055,593428,643217,598265,455759,53.7988,0,0,NA,NA,NA,NA,NA,67,1,NA
SL,2017-04-15,80.6,-1.675,5.7539,Phil Gosselin,594838,493157,single,hit_into_play_no_out,NA,NA,NA,NA,5,Phil Gosselin singles on a bunt ground ball to third baseman Kris Bryant.,R,R,R,CHC,PIT,X,NA,ground_ball,0,0,2017,-0.4905,0.7664,-0.1554,2.7124,NA,NA,NA,0,8,Top,112.63,186.36,NA,NA,575929,NA,170415_211111,4.1986,-117.0164,-1.496,-5.138,20.7677,-25.2891,3.924,1.627,4,35.3,-36.0151,79.448,2168,5.482,490265,493157,575929,519203,595879,592178,608365,656941,518792,450314,55.0282,0.111,0.11,0.9,1,1,0,1,66,1,0
SI,2017-04-14,92.4,2.8206,6.1747,Phil Gosselin,594838,488846,field_out,hit_into_play,NA,NA,NA,NA,14,Phil Gosselin lines out to right fielder Ben Zobrist.,R,R,L,CHC,PIT,X,9,line_drive,0,0,2017,1.5751,1.2459,0.0872,1.4963,NA,NA,NA,0,7,Top,183.06,120.23,NA,NA,471083,NA,170414_203625,-10.2111,-133.6532,-8.6158,20.8433,28.4984,-15.8012,3.924,1.627,278,83.8,28.177,91.377,1886,6.002,490250,488846,471083,519203,595879,592178,608365,656941,518792,450314,54.524,0.058,0.068,0,1,0,0,3,52,1,0
SL,2017-04-13,88.2,-0.9781,5.819,Phil Gosselin,594838,592390,field_out,hit_into_play,NA,NA,NA,NA,9,"Phil Gosselin grounds out sharply, second baseman Dustin Pedroia to first baseman Mitch Moreland.",R,R,R,BOS,PIT,X,4,ground_ball,0,1,2017,0.325,0.6597,0.6103,1.56,NA,NA,NA,0,7,Top,136.99,148.23,NA,NA,543877,NA,170413_200942,3.1918,-128.1382,-5.6232,2.9197,26.8794,-23.9205,3.36,1.55,38,88.1,0.394,88.281,2501,6.456,490143,592390,543877,519048,456030,593523,593428,571788,643217,605141,54.0444,0.333,0.316,0,1,0,0,2,48,2,0
SL,2017-04-13,88.3,-0.948,5.8061,Phil Gosselin,594838,592390,NA,swinging_strike,NA,NA,NA,NA,14,NA,R,R,R,BOS,PIT,S,NA,NA,0,0,2017,0.3892,0.9054,0.592,1.4008,NA,NA,NA,0,7,Top,NA,NA,NA,NA,543877,NA,170413_200924,2.9308,-128.1145,-6.3748,3.5512,29.11,-21.1631,3.36,1.55,NA,NA,NA,87.399,2491,6.1,490143,592390,543877,519048,456030,593523,593428,571788,643217,605141,54.4003,0,0,NA,NA,NA,NA,NA,48,1,NA
FF,2017-04-13,92.9,2.1123,5.4384,Phil Gosselin,594838,593958,field_out,hit_into_play,NA,NA,NA,NA,11,Phil Gosselin pops out to second baseman Dustin Pedroia.,R,R,L,BOS,PIT,X,4,popup,0,2,2017,0.7751,1.1273,-1.1922,2.5974,NA,NA,501896,2,4,Top,161.88,137.32,NA,NA,543877,NA,170413_191801,-10.0379,-134.4647,-3.7822,11.6394,32.119,-18.0809,3.36,1.55,173,65.1,48.858,91.675,2053,6.071,490143,593958,543877,519048,456030,593523,593428,571788,643217,605141,54.4287,0.17,0.16,0,1,0,0,3,29,3,0
CH,2017-04-13,86.2,2.1158,5.7634,Phil Gosselin,594838,593958,NA,swinging_strike,NA,NA,NA,NA,9,NA,R,R,L,BOS,PIT,S,NA,NA,0,1,2017,1.5528,0.87,0.3127,1.4361,NA,NA,501896,2,4,Top,NA,NA,NA,NA,543877,NA,170413_191733,-7.3772,-124.788,-5.6455,17.711,28.4276,-22.1515,3.36,1.55,NA,NA,NA,85.311,1992,6.293,490143,593958,543877,519048,456030,593523,593428,571788,643217,605141,54.2068,0,0,NA,NA,NA,NA,NA,29,2,NA
FF,2017-04-13,92.7,2.1953,5.5691,Phil Gosselin,594838,593958,NA,called_strike,NA,NA,NA,NA,2,NA,R,R,L,BOS,PIT,S,NA,NA,0,0,2017,0.5693,1.3538,0.2117,2.8268,NA,NA,501896,2,4,Top,NA,NA,NA,NA,543877,NA,170413_191712,-6.262,-134.4515,-4.0794,8.2309,29.4841,-15.1985,3.36,1.55,NA,NA,NA,92.178,2067,6.175,490143,593958,543877,519048,456030,593523,593428,571788,643217,605141,54.325,0,0,NA,NA,NA,NA,NA,29,1,NA
FF,2017-04-13,93.8,1.8078,5.5596,Phil Gosselin,594838,593958,field_out,hit_into_play,NA,NA,NA,NA,11,Phil Gosselin pops out to first baseman Mitch Moreland.,R,R,L,BOS,PIT,X,3,popup,2,2,2017,0.6226,1.0234,-1.2141,2.8482,NA,NA,NA,0,2,Top,157.04,159.7,NA,NA,543877,NA,170413_183858,-9.1853,-136.1268,-3.5351,9.7323,28.9344,-18.8371,3.36,1.55,124,48.4,39.437,93.919,2138,6.43,490143,593958,543877,519048,456030,593523,593428,571788,643217,605141,54.0703,0.062,0.058,0,1,0,0,1,12,6,0
FF,2017-04-13,93.8,2.0969,5.5307,Phil Gosselin,594838,593958,NA,ball,NA,NA,NA,NA,12,NA,R,R,L,BOS,PIT,B,NA,NA,1,2,2017,0.7372,1.4435,0.702,4.4394,NA,NA,NA,0,2,Top,NA,NA,NA,NA,543877,NA,170413_183839,-5.1349,-136.1997,-0.1968,10.1316,29.634,-14.72,3.36,1.55,NA,NA,NA,92.853,2142,5.815,490143,593958,543877,519048,456030,593523,593428,571788,643217,605141,54.6846,0,0,NA,NA,NA,NA,NA,12,5,NA
