pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
SI,2017-04-22,94.3,-3.5843,6.152,Phillip Ervin,640447,453562,force_out,hit_into_play,NA,NA,NA,NA,7,"Phillip Ervin grounds into a force out, pitcher Jake Arrieta to second baseman Javier Baez.   Tucker Barnhart out at 2nd.    Phillip Ervin to 1st.",R,R,R,CIN,CHC,X,1,ground_ball,3,2,2017,-1.65,1.7569,-0.3923,1.7569,NA,NA,571466,0,2,Bot,128.83,180.27,NA,NA,575929,NA,170422_180434,11.6933,-135.8949,-9.2123,-22.8823,34.6013,-8.9075,3.301,1.504,3,51.5,-28.852,92.179,2278,5.924,490353,453562,575929,519203,595879,592178,608365,656941,546991,518792,54.5747,0.073,0.068,0,1,0,0,1,24,6,0
SI,2017-04-22,93.3,-3.452,6.1987,Phillip Ervin,640447,453562,NA,swinging_strike,NA,NA,NA,NA,13,NA,R,R,R,CIN,CHC,S,NA,NA,3,1,2017,-1.4779,1.461,-1.9853,2.0907,NA,NA,571466,0,2,Bot,NA,NA,NA,NA,575929,NA,170422_180408,6.8677,-135.0841,-7.7792,-19.3381,31.323,-13.0784,3.301,1.504,NA,NA,NA,91.997,2229,5.924,490353,453562,575929,519203,595879,592178,608365,656941,546991,518792,54.5747,0,0,NA,NA,NA,NA,NA,24,5,NA
SI,2017-04-22,94.2,-3.2597,6.1913,Phillip Ervin,640447,453562,NA,ball,NA,NA,NA,NA,13,NA,R,R,R,CIN,CHC,B,NA,NA,2,1,2017,-1.5884,1.5522,-0.2548,1.3323,NA,NA,571466,0,2,Bot,NA,NA,NA,NA,575929,NA,170422_180346,11.1235,-135.9875,-10.0871,-21.9559,30.2382,-11.1263,3.301,1.504,NA,NA,NA,93.006,2297,6.047,490353,453562,575929,519203,595879,592178,608365,656941,546991,518792,54.4522,0,0,NA,NA,NA,NA,NA,24,4,NA
FF,2017-04-22,93.5,-3.4742,6.2465,Phillip Ervin,640447,453562,NA,foul,NA,NA,NA,NA,4,NA,R,R,R,CIN,CHC,S,NA,NA,2,0,2017,-0.9267,2.004,-0.2931,2.1045,NA,NA,571466,0,2,Bot,NA,NA,NA,NA,575929,NA,170422_180321,10.0677,-135.0427,-9.0257,-13.4972,31.7803,-6.2368,3.301,1.504,178,73.2,62.793,92,2304,5.981,490353,453562,575929,519203,595879,592178,608365,656941,546991,518792,54.5178,0,0,NA,NA,NA,NA,3,24,3,0
SI,2017-04-22,93.4,-3.3903,6.2272,Phillip Ervin,640447,453562,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CIN,CHC,B,NA,NA,1,0,2017,-0.8986,1.496,1.1218,2.2716,NA,NA,571466,0,2,Bot,NA,NA,NA,NA,575929,NA,170422_180301,13.3344,-134.7106,-7.414,-13.796,30.9605,-12.8552,3.301,1.504,NA,NA,NA,91.747,2324,5.911,490353,453562,575929,519203,595879,592178,608365,656941,546991,518792,54.5876,0,0,NA,NA,NA,NA,NA,24,2,NA
SI,2017-04-22,93.1,-3.3866,6.2354,Phillip Ervin,640447,453562,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CIN,CHC,B,NA,NA,0,0,2017,-1.2041,1.2862,0.1189,1.1579,NA,NA,571466,0,2,Bot,NA,NA,NA,NA,575929,NA,170422_180243,11.4555,-134.5703,-9.876,-16.8955,27.9636,-14.8374,3.301,1.504,NA,NA,NA,92.223,2299,6.033,490353,453562,575929,519203,595879,592178,608365,656941,546991,518792,54.466,0,0,NA,NA,NA,NA,NA,24,1,NA
FF,2017-04-25,89,2.323,6.2628,Phillip Ervin,640447,543548,walk,ball,NA,NA,NA,NA,13,Phillip Ervin walks.   Eugenio Suarez to 2nd.,R,R,L,MIL,CIN,B,NA,NA,3,2,2017,0.1707,1.7609,-0.9304,1.5178,NA,NA,553993,1,8,Top,NA,NA,NA,NA,444489,NA,170426_022434,-8.2983,-128.9224,-9.2025,3.5687,25.8561,-10.8901,3.301,1.504,NA,NA,NA,88.74,2333,6.289,490392,543548,444489,542583,542340,543768,606115,545338,541650,570267,54.2094,0,0,0.7,1,0,0,NA,71,7,NA
CH,2017-04-25,81.7,2.7119,6.119,Phillip Ervin,640447,543548,NA,blocked_ball,NA,NA,NA,NA,13,NA,R,R,L,MIL,CIN,B,NA,NA,2,2,2017,0.9762,0.5996,-0.9317,-0.9393,NA,NA,553993,1,8,Top,NA,NA,NA,NA,444489,NA,170426_022404,-10.1749,-118.2804,-10.5783,11.097,19.3384,-24.8117,3.301,1.504,NA,NA,NA,82.644,1837,6.875,490392,543548,444489,542583,542340,543768,606115,545338,541650,570267,53.6232,0,0,NA,NA,NA,NA,NA,71,6,NA
FF,2017-04-25,89,2.3598,6.2719,Phillip Ervin,640447,543548,NA,foul,NA,NA,NA,NA,5,NA,R,R,L,MIL,CIN,S,NA,NA,2,2,2017,0.2657,1.7117,-0.0325,2.4996,NA,NA,553993,1,8,Top,NA,NA,NA,NA,444489,NA,170426_022337,-6.2859,-128.1378,-6.5197,4.0923,23.7988,-12.322,3.301,1.504,NA,NA,NA,88.155,2317,6.033,490392,543548,444489,542583,542340,543768,606115,545338,541650,570267,54.4656,0,0,NA,NA,NA,NA,NA,71,5,NA
FF,2017-04-25,89.3,2.4618,6.2939,Phillip Ervin,640447,543548,NA,ball,NA,NA,NA,NA,13,NA,R,R,L,MIL,CIN,B,NA,NA,1,2,2017,0.25,1.9762,-1.6514,2.0545,NA,NA,553993,1,8,Top,NA,NA,NA,NA,444489,NA,170426_022315,-10.5178,-129.1064,-8.3337,4.981,27.2473,-8.8213,3.301,1.504,NA,NA,NA,88.259,2338,6.018,490392,543548,444489,542583,542340,543768,606115,545338,541650,570267,54.4805,0,0,NA,NA,NA,NA,NA,71,4,NA
