pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
SL,2017-04-08,86.2,-0.9914,5.8793,Scott Schebler,594988,455009,home_run,hit_into_play_score,NA,NA,NA,NA,8,Scott Schebler homers (2) on a fly ball to right center field.    Tucker Barnhart scores.,R,L,R,STL,CIN,X,NA,fly_ball,3,2,2017,0.2297,0.1036,-0.1041,1.7503,NA,NA,571466,1,8,Top,200.43,48.93,NA,NA,518700,NA,170408_203718,1.6525,-125.6174,-3.9438,2.2094,21.0792,-30.5574,3.746,1.535,408,102.2,32.268,87.544,2210,6.621,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,53.8345,0.658,1.269,2,1,0,3,6,66,6,1
SL,2017-04-08,86.9,-1.1549,6.0696,Scott Schebler,594988,455009,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,STL,CIN,B,NA,NA,2,2,2017,0.1995,0.2792,-1.33,3.721,NA,NA,571466,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203654,-0.8274,-126.5804,-0.156,2.3138,20.3888,-29.265,3.4764,1.6617,NA,NA,NA,87.866,2139,6.384,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.1338,0,0,NA,NA,NA,NA,NA,66,5,NA
SL,2017-04-08,87.9,-0.9883,6.3346,Scott Schebler,594988,455009,NA,blocked_ball,NA,NA,NA,NA,14,NA,R,L,R,STL,CIN,B,NA,NA,1,2,2017,0.7444,0.3947,1.6694,0.5811,NA,NA,571466,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203623,4.8954,-127.6682,-8.6415,7.2357,23.6334,-26.4597,3.5069,1.6008,NA,NA,NA,87.989,2283,6.142,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.2865,0,0,NA,NA,NA,NA,NA,66,4,NA
FF,2017-04-08,93,-1.1381,5.9558,Scott Schebler,594988,455009,NA,foul,NA,NA,NA,NA,13,NA,R,L,R,STL,CIN,S,NA,NA,1,1,2017,-0.4883,1.0898,-0.897,2.5313,NA,NA,571466,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203555,1.6176,-134.4375,-5.3187,-6.2829,26.2352,-18.0118,3.746,1.535,NA,NA,NA,93.107,2128,6.292,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.0913,0,0,NA,NA,NA,NA,NA,66,3,NA
FF,2017-04-08,93.6,-1.1479,6.1067,Scott Schebler,594988,455009,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,STL,CIN,B,NA,NA,0,1,2017,-0.5745,1.3541,-1.3679,2.0124,NA,NA,571466,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203531,0.689,-135.8954,-7.7685,-7.2669,29.46,-13.9275,3.5373,1.5398,NA,NA,NA,93.458,2137,6.321,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.209,0,0,NA,NA,NA,NA,NA,66,2,NA
FT,2017-04-08,93.1,-1.4077,6.0215,Scott Schebler,594988,455009,NA,foul,NA,NA,NA,NA,8,NA,R,L,R,STL,CIN,S,NA,NA,0,0,2017,-1.0917,1.0059,-0.2498,1.6804,NA,NA,571466,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203503,5.2863,-134.9963,-7.4369,-14.3707,30.3471,-18.5926,3.746,1.535,192,74.1,61.7721,92.53,2157,6.058,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.3016,0,0,NA,NA,NA,NA,3,66,1,0
FF,2017-04-07,92.2,2.0061,6.1986,Scott Schebler,594988,543779,home_run,hit_into_play_score,NA,NA,NA,NA,8,Scott Schebler homers (1) on a fly ball to center field.,R,L,L,STL,CIN,X,NA,fly_ball,1,1,2017,0.9447,1.2574,-0.1835,2.0652,NA,NA,NA,2,9,Top,126.85,26.59,NA,NA,425877,NA,170408_021716,-7.6034,-133.7923,-7.4114,12.947,26.7478,-15.6785,3.746,1.535,388,104.4,24.018,92.534,2084,6.4,490151,543779,425877,572761,543939,425509,649557,545341,451594,572039,54.0471,0.874,1.56,2,1,0,3,6,61,3,1
FT,2017-04-07,91.4,2.5305,5.6156,Scott Schebler,594988,543779,NA,called_strike,NA,NA,NA,NA,1,NA,R,L,L,STL,CIN,S,NA,NA,1,0,2017,1.0741,0.9006,-0.7664,3.0216,NA,NA,NA,2,9,Top,NA,NA,NA,NA,425877,NA,170408_021658,-10.5586,-132.4933,-2.5786,14.7877,26.2564,-21.2199,3.3639,1.7966,NA,NA,NA,91.247,2062,6.297,490151,543779,425877,572761,543939,425509,649557,545341,451594,572039,54.2734,0,0,NA,NA,NA,NA,NA,61,2,NA
FT,2017-04-07,92.5,2.4067,5.865,Scott Schebler,594988,543779,NA,ball,NA,NA,NA,NA,11,NA,R,L,L,STL,CIN,B,NA,NA,0,0,2017,1.2858,1.2369,-1.0875,3.0277,NA,NA,NA,2,9,Top,NA,NA,NA,NA,425877,NA,170408_021640,-11.7608,-134.0641,-4.1307,18.1666,27.9616,-16.3887,3.5107,1.6611,NA,NA,NA,92.936,2116,6.657,490151,543779,425877,572761,543939,425509,649557,545341,451594,572039,53.8368,0,0,NA,NA,NA,NA,NA,61,1,NA
SI,2017-04-07,88.9,-1.8547,5.3475,Scott Schebler,594988,502190,walk,ball,NA,NA,NA,NA,14,Scott Schebler walks.,R,L,R,STL,CIN,B,NA,NA,3,0,2017,-1.0262,0.9464,1.2703,1.3766,NA,NA,NA,0,7,Top,NA,NA,NA,NA,425877,NA,170408_014446,9.6518,-128.6806,-5.4713,-13.3412,28.8471,-20.8934,3.4768,1.7176,NA,NA,NA,87.791,2133,5.949,490151,502190,425877,572761,543939,425509,649557,545341,451594,572039,54.4428,0,0,0.7,1,0,0,NA,46,4,NA
