pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
SL,2017-04-08,87.8,-1.2565,5.9774,Tucker Barnhart,571466,455009,single,hit_into_play_no_out,NA,NA,NA,NA,8,Tucker Barnhart singles on a sharp line drive to center fielder Dexter Fowler.,R,L,R,STL,CIN,X,NA,line_drive,1,1,2017,0.2229,0.5044,0.1199,2.1695,NA,NA,NA,1,8,Top,128.38,102.97,NA,NA,518700,NA,170408_203419,2.8669,-127.674,-4.1781,1.9124,23.5087,-26.0834,3.694,1.513,231,102.1,11.703,88.054,2189,6.157,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.2602,0.812,0.821,0.9,1,1,0,4,65,3,0
FT,2017-04-08,94.2,-1.2897,6.1177,Tucker Barnhart,571466,455009,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,STL,CIN,B,NA,NA,0,1,2017,-1.0524,1.1595,-1.7886,2.4051,NA,NA,NA,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203358,0.9884,-136.655,-6.3671,-13.2192,31.408,-16.6382,3.1656,1.4112,NA,NA,NA,93.427,2103,6.012,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.4228,0,0,NA,NA,NA,NA,NA,65,2,NA
FT,2017-04-08,92.4,-1.2272,6.1347,Tucker Barnhart,571466,455009,NA,foul,NA,NA,NA,NA,13,NA,R,L,R,STL,CIN,S,NA,NA,0,0,2017,-1.2614,0.7985,-1.0666,2.2801,NA,NA,NA,1,8,Top,NA,NA,NA,NA,518700,NA,170408_203332,3.1063,-133.9238,-5.5691,-15.6881,33.3952,-21.6017,3.694,1.513,207,70.8,32.7974,91.393,2102,6.176,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,54.2662,0,0,NA,NA,NA,NA,4,65,1,0
FF,2017-04-08,93.5,-0.1916,6.504,Tucker Barnhart,571466,608379,walk,blocked_ball,NA,NA,NA,NA,14,Tucker Barnhart walks.,R,L,R,STL,CIN,B,NA,NA,3,2,2017,-0.4603,1.2235,0.0077,0.5197,NA,NA,NA,1,5,Top,NA,NA,NA,NA,425877,NA,170408_192559,1.5513,-135.7373,-12.5591,-6.1367,25.0738,-14.4663,3.1808,1.4112,NA,NA,NA,94.898,1999,6.808,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,53.6345,0,0,0.7,1,0,0,NA,38,6,NA
FC,2017-04-08,91.2,-0.6244,6.4987,Tucker Barnhart,571466,608379,NA,ball,NA,NA,NA,NA,14,NA,R,L,R,STL,CIN,B,NA,NA,2,2,2017,0.1112,1.0454,1.7815,2.3302,NA,NA,NA,1,5,Top,NA,NA,NA,NA,425877,NA,170408_192545,5.8209,-132.5297,-6.9272,0.2963,23.5659,-18.5945,3.1656,1.5178,NA,NA,NA,92.04,2183,6.461,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,54.0116,0,0,NA,NA,NA,NA,NA,38,5,NA
CH,2017-04-08,90.7,-0.3365,6.5823,Tucker Barnhart,571466,608379,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,STL,CIN,B,NA,NA,1,2,2017,-0.5224,1.1514,-1.4948,1.3731,NA,NA,NA,1,5,Top,NA,NA,NA,NA,425877,NA,170408_192529,-1.7834,-131.637,-9.5905,-5.7932,25.4218,-16.9838,3.1656,1.4569,NA,NA,NA,91.255,1843,6.459,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,53.9592,0,0,NA,NA,NA,NA,NA,38,4,NA
CU,2017-04-08,75.3,-0.5309,6.5905,Tucker Barnhart,571466,608379,NA,called_strike,NA,NA,NA,NA,12,NA,R,L,R,STL,CIN,S,NA,NA,1,1,2017,0.8396,-1.1345,0.2408,3.3862,NA,NA,NA,1,5,Top,NA,NA,NA,NA,425877,NA,170408_192514,0.1439,-109.4695,2.4218,6.6312,19.1928,-41.8272,3.1656,1.4721,NA,NA,NA,74.719,2301,5.934,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,54.6041,0,0,NA,NA,NA,NA,NA,38,3,NA
FF,2017-04-08,93.4,-0.106,6.7744,Tucker Barnhart,571466,608379,NA,ball,NA,NA,NA,NA,12,NA,R,L,R,STL,CIN,B,NA,NA,0,1,2017,-0.381,1.5744,1.0951,3.3003,NA,NA,NA,1,5,Top,NA,NA,NA,NA,425877,NA,170408_192503,3.9298,-135.6873,-6.694,-5.5252,26.649,-11.4069,3.1351,1.5178,NA,NA,NA,93.872,2136,6.416,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,54.0803,0,0,NA,NA,NA,NA,NA,38,2,NA
FC,2017-04-08,90.7,-0.543,6.5234,Tucker Barnhart,571466,608379,NA,swinging_strike,NA,NA,NA,NA,9,NA,R,L,R,STL,CIN,S,NA,NA,0,0,2017,0.1521,1.1797,0.7615,1.9376,NA,NA,NA,1,5,Top,NA,NA,NA,NA,425877,NA,170408_192449,2.9587,-131.9514,-8.2584,1.3123,22.9252,-16.7296,3.694,1.513,NA,NA,NA,92.02,2269,6.749,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,53.8187,0,0,NA,NA,NA,NA,NA,38,1,NA
FF,2017-04-08,95.5,-0.415,6.5273,Tucker Barnhart,571466,608379,field_out,hit_into_play,NA,NA,NA,NA,4,"Tucker Barnhart grounds out, third baseman Jedd Gyorko to first baseman Matt Carpenter.",R,L,R,STL,CIN,X,5,ground_ball,1,2,2017,-0.6616,1.2307,-0.2866,2.6651,NA,NA,NA,0,3,Top,105.4,169.32,NA,NA,425877,NA,170408_184830,1.8052,-138.78,-7.2761,-8.9203,29.9305,-14.9481,3.694,1.513,10,93.2,-13.154,95.357,2218,6.213,490166,608379,425877,572761,543939,576397,649557,571431,451594,545341,54.3123,0.176,0.165,0,1,0,0,2,19,4,0
